               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.017881,            0.012415,          0.00061692,             0.88487,             0.83404,             0.87061,             0.68118,            0.019127,           0.0061744,           0.0014037,            0.070056,           0.0033271,           0.0033271
                   1,            0.019479,            0.013008,          0.00066808,             0.88186,             0.83859,             0.86904,             0.67344,            0.019734,           0.0063958,           0.0010853,            0.040035,           0.0066384,           0.0066384
                   2,            0.022366,            0.014163,           0.0014594,             0.85446,             0.75942,             0.82228,              0.6015,            0.021454,           0.0073249,           0.0021827,           0.0099905,           0.0099278,           0.0099278
                   3,            0.025433,            0.016734,           0.0037282,             0.80898,             0.77153,             0.80896,             0.56054,            0.022888,           0.0076678,           0.0022265,            0.009901,            0.009901,            0.009901
                   4,            0.025923,              0.0175,           0.0041734,             0.72576,             0.66074,             0.70022,             0.47823,             0.02534,           0.0085642,           0.0085855,            0.009901,            0.009901,            0.009901
                   5,            0.026826,            0.018077,           0.0041814,             0.82275,             0.78123,             0.81967,             0.57716,            0.022412,            0.007483,           0.0025952,            0.009868,            0.009868,            0.009868
                   6,            0.025828,            0.017622,           0.0038618,             0.68051,             0.68375,             0.69527,             0.48264,            0.023431,           0.0085453,           0.0042655,            0.009835,            0.009835,            0.009835
                   7,            0.026067,            0.017807,           0.0040451,             0.75947,             0.74579,             0.77291,             0.54834,            0.022503,           0.0075085,           0.0057134,            0.009802,            0.009802,            0.009802
                   8,            0.025944,            0.017531,           0.0035139,             0.81228,             0.75243,             0.79476,             0.57237,            0.022923,           0.0075669,           0.0044673,            0.009769,            0.009769,            0.009769
                   9,            0.026046,            0.017754,           0.0037065,             0.85061,             0.77607,             0.82875,              0.5871,            0.021921,           0.0072614,           0.0031596,            0.009736,            0.009736,            0.009736
                  10,            0.026089,            0.017136,           0.0033006,             0.83497,             0.76973,             0.82335,             0.58003,            0.023596,            0.007444,            0.001922,            0.009703,            0.009703,            0.009703
                  11,            0.025613,            0.017067,           0.0032549,             0.83064,             0.78857,             0.82898,             0.59187,            0.022155,           0.0071421,           0.0021246,             0.00967,             0.00967,             0.00967
                  12,            0.026024,            0.017646,           0.0037439,             0.83149,             0.76671,             0.81527,             0.57247,            0.022687,           0.0072394,           0.0025281,            0.009637,            0.009637,            0.009637
                  13,            0.025551,            0.017255,           0.0032984,             0.86211,             0.77389,             0.82775,             0.58917,              0.0229,           0.0072366,           0.0024506,            0.009604,            0.009604,            0.009604
                  14,            0.025236,            0.017243,           0.0033528,              0.8253,             0.74538,             0.79853,             0.57025,            0.022561,           0.0075292,           0.0035049,            0.009571,            0.009571,            0.009571
                  15,             0.02498,             0.01699,           0.0031133,              0.8171,             0.75771,             0.79782,             0.57588,            0.022096,           0.0073416,           0.0025903,            0.009538,            0.009538,            0.009538
                  16,            0.024839,            0.016757,           0.0033293,             0.85063,             0.77194,             0.81978,             0.58929,            0.022447,           0.0073766,            0.002566,            0.009505,            0.009505,            0.009505
                  17,            0.025035,            0.016787,           0.0030997,             0.86718,             0.77219,              0.8245,             0.59765,            0.021425,           0.0070697,           0.0023612,            0.009472,            0.009472,            0.009472
                  18,            0.025307,            0.016672,           0.0029363,             0.82139,             0.78177,             0.81704,             0.58835,            0.022111,           0.0070994,           0.0030184,            0.009439,            0.009439,            0.009439
                  19,              0.0248,            0.016837,            0.003137,             0.82217,             0.78144,             0.81874,             0.59735,            0.020791,           0.0070263,           0.0032186,            0.009406,            0.009406,            0.009406
                  20,            0.025225,            0.016942,           0.0029423,             0.82912,             0.75799,             0.80784,             0.58451,            0.022007,           0.0071643,           0.0037939,            0.009373,            0.009373,            0.009373
